,data,target
2713,How do I impress a guy ?,DESC
2714,What terror of the sea did Johnny Horton sing about ?,ENTY
2715,The major league baseball team in Pittsburgh is called what ?,HUM
2716,What did Mr. Magoo flog on TV for General Electric ?,ENTY
2717,What is a technique popularly used to detect birth defects ?,ENTY
2718,Why did the Anglican church split from the Vatican ?,DESC
2719,What two countries fought the Hundred Years ' War ?,LOC
2720,What is the highest peak in Africa ?,LOC
2721,How many members of a family could be drafted in the U.S. military during World War II ?,NUM
2722,What is the Amish religion ?,DESC
2723,What was the first Lifesaver flavor ?,ENTY
2724,What was the first Gilbert and Sullivan opera ?,ENTY
2725,Which college did Dikembe Mutombo play basketball at ?,HUM
2726,Who else was considered for the role of Luke Skywalker when George Lucas was casting for Star Wars ?,HUM
2727,What happens to used motor oil ?,DESC
2728,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",ENTY
2729,When was Richard Nixon born ?,NUM
2730,Who said `` Give me liberty or give me death '' ?,HUM
2731,What is the largest island in the Mediterranean Sea ?,LOC
2732,How do you make a computer chip ?,DESC
2733,How did names come about ?,DESC
2734,"Who created the Fantastic Four , Hulk , and Thor ?",HUM
2735,What 's the mystery of the Bermuda Triangle ?,DESC
2736,What is a gas release event ?,DESC
2737,What is the origin of the typing practice sentence `` Now is the time for all good men to come to the aid of their country '' ?,DESC
2738,What is a camel hair brush actually made out of ?,ENTY
2739,Who invented the electric guitar ?,HUM
2740,Where did Hillary Clinton graduate college ?,LOC
2741,What is pandoro ?,DESC
2742,In which year was New Zealand excluded from the ANZUS alliance ?,NUM
2743,What is the fastest-growing comic strip of all time ?,ENTY
2744,Name a Sioux language .,ENTY
2745,How many mines can still be found in the Falklands after the war ended ?,NUM
2746,"In AD 999 , what sort of celebrations , fears , were there ?",ENTY
2747,"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?",HUM
2748,Who is the richest woman in the world ?,HUM
2749,How much is a Canadian 1967 twenty dollar gold coin worth ?,NUM
2750,What is the name of the gulf between Sweden and Finland ?,LOC
2751,What sprawling U.S. state boasts the most airports ?,LOC
2752,Who 's the twin brother of the Greek goddess Artemis ?,HUM
2753,Where in a tree does photosynthesis occur ?,LOC
2754,In what area of the world was the Six Day War fought ?,LOC
2755,What does NASDAQ stand for ?,ABBR
2756,How many flavors of ice cream does Howard Johnson 's have ?,NUM
2757,What city would you be in if you were feeding the pigeons in the Piazza San Marco ?,LOC
2758,What product did Robert Conrad dare people to knock off his shoulder ?,ENTY
2759,Name the cartoon genie conjured by the magic ring shared by Nancy and Chuck .,HUM
2760,Where is Guam ?,LOC
2761,How many revolutions does a standard LP make in three minutes ?,NUM
2762,How many gallons of paint does it take to paint the Golden Gate Bridge ?,NUM
2763,What are the chemicals used in glowsticks ?,ENTY
2764,What ever happened to the once popular Yale Lock Company ?,DESC
2765,Who wrote ` Dubliners ' ?,HUM
2766,"Who played for the Chicago Bears , Houston Oilers and Oakland Raiders in a 26-year pro football career ?",HUM
2767,When did beethoven die ?,NUM
2768,What 's the nickname of oddsmaker Jimmy Snyder ?,HUM
2769,Who was the first woman golfer to earn a million ?,HUM
2770,What Shakespearean play featured Shylock ?,ENTY
2771,What is the origin of the word `` Teddy bear '' ?,DESC
2772,What is a Certified Nurse Midwife ?,DESC
2773,How can I find a list of celebrities ' real names ?,DESC
2774,Who was Confucius ?,HUM
2775,How can I enforce new rules to a group of youngsters who have been allowed to do as they please .,DESC
2776,Where can I get a complete listing of showtimes in my area ?,LOC
2777,What do flatfish eat ?,ENTY
2778,What British general surrendered to the colonial army at Saratoga ?,HUM
2779,What well-known music personality is the father of an adopted son named Hans Christian Henderson ?,HUM
2780,Why does a candle need a wick ?,DESC
2781,Who was the author of `` John Brown 's Body '' ?,HUM
2782,What did The Gas House Gang play ?,ENTY
2783,How fast is light ?,NUM
2784,What Honeymooners actress did Television magazine name as 1953 's most promising star ?,HUM
2785,What girl 's name is `` Teddy '' an affectionate form of ?,HUM
2786,What product on the market is good for hiding facial scars ?,ENTY
2787,What is Dudley Do-Right 's horse 's name ?,ENTY
2788,How long does a human live ?,NUM
2789,What television network flogged its sports programming on Inga Nielsen 's body in 197 ?,HUM
2790,What bestselling modern poet was the co-founder of the famous City Lights Bookshop in San Francisco ?,HUM
2791,How come a doughnut has a hole in it ?,DESC
2792,How many stars are there in Big Dipper ?,NUM
2793,Where did the term fireplug come from ?,DESC
2794,Who started the Dominos Pizza chain ?,HUM
2795,In which state are the Mark Twain National Forests ?,LOC
2796,What is a good book to read for people who hate to read ?,ENTY
2797,What device provided a new way to listen to music in 1963 ?,ENTY
2798,What is limbo ?,DESC
2799,What is the greatest hiking Web site ?,LOC
2800,"Who is John Macarthur , 1767-1834 ?",HUM
2801,Who spoke the only word in Mel Brooks 's Silent Movie ?,HUM
2802,What is the Bernoulli Principle ?,DESC
2803,What country comes last in an alphabetical list ?,LOC
2804,What is the Lost Colony ?,DESC
2805,How do windmills work ?,DESC
2806,What is Drew Barrymore 's email address ?,LOC
2807,What group asked the musical question Do You Believe in Magic ?,HUM
2808,How many `` eyes '' does a coconut have ?,NUM
2809,What is the Motto for the State of Maryland ?,DESC
2810,Where does chocolate come from ?,LOC
2811,Who appointed the chair of the Federal Reserve ?,HUM
2812,"What country boasts Cawdor Castle , Glamis Castle , and Blair Castle ?",LOC
2813,What kind of greeting is appropriate to send on Yom Kippur ?,DESC
2814,Who is the French literary charcter who is chiefly famous for his enormous nose ?,HUM
2815,Why did David Koresh ask the FBI for a word processor ?,DESC
2816,What does Las Vegas mean ?,DESC
2817,Which thrilled taste buds first - Snickers or 3 Musketeers ?,ENTY
2818,What type of currency is used in China ?,ENTY
2819,What is pasta ?,DESC
2820,Why didn 't European colonial rule spread until after the first and second industrial revolutions ?,DESC
2821,Where can I find a picture of a Blue Meanie ?,LOC
2822,"Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?",HUM
2823,Which of the following TV newsmen was a Rhodes scholar ?,HUM
2824,Which police department made the largest cocaine seizure ever in Ventura County ?,HUM
2825,What Grand Slam golf tournament wasn 't held between 1940 and 1945 ?,ENTY
2826,"What molecules include fluorine , sodium and magnesium ?",ENTY
2827,What is the chemiosmotic theory ?,DESC
2828,In what part of Africa is Mozambique located ?,LOC
2829,What is the cause of endangered species ?,DESC
2830,What name did football 's New York Titans adopt in 1963 ?,HUM
2831,"Who is Karenna Gore , Al Gore 's oldest daughter , married to ?",HUM
2832,"What magazine gives us the cream , not the skim ?",ENTY
2833,Where are the 49 steps ?,LOC
2834,How do I check if my modem is v.9 compatible ?,DESC
2835,What kind of business is 7-Eleven ?,HUM
2836,What river does the Grand Coulee Dam dam ?,LOC
2837,Who is the most sexy celebrity ?,HUM
2838,What European city do Nicois live in ?,LOC
2839,What kind of company is 7-Eleven ?,HUM
2840,How old was George Washington when he died ?,NUM
2841,What U.S. city is The Queen of the Pacific ?,LOC
2842,Who is the actress Bette Davis once said she wished she looked like ?,HUM
2843,Who were the 1974 Oscar winners ?,HUM
2844,Where does the Santa Fe Trail begin and end ?,LOC
2845,What painter popularized soup cans and Brillo soap pad boxes ?,HUM
2846,"Why are sometimes your hands cold , but the rest of you isn 't ?",DESC
2847,What state 's home to the Buffalo Bill Historical Center ?,LOC
2848,What building built in 18 contains 327 miles of book shelves ?,LOC
2849,What do bicornate animals have two of ?,ENTY
2850,How close a cousin was Franklin D. to Theodore Roosevelt ?,DESC
2851,What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?,HUM
2852,Who coined the term NN cyberspace `` in his novel NN Neuromancer '' ?,HUM
2853,What year did the War of 1812 begin ?,NUM
2854,How many events make up the decathlon ?,NUM
2855,Name one of King Henry VIII 's wives .,HUM
2856,What did the forward-thinking Simon Brothers Bakery of Chicago insert into bagels to boost business ?,ENTY
2857,What does Freddy Freeman say to become Captain Marvel Jr. ?,DESC
2858,Why is it called `` hamburger '' if there is no ham in it ?,DESC
2859,What 's the difference between J.D. and LL.M. ?,DESC
2860,Where is Sinn Fein 's headquarters ?,LOC
2861,What color is the eight-ball in pocket billiards ?,ENTY
2862,When did the art of quilting begin ?,NUM
2863,What is the alphabet for Latin ?,ENTY
2864,What is the name of the brilliant British economist behind its creation ?,HUM
2865,What 's the abbreviation for trinitrotoluene ?,ABBR
2866,What year was the NAACP founded ?,NUM
2867,How do you clean an LCD monitor screen ?,DESC
2868,What is Martin Luther King Jr. 's real birthday ?,NUM
2869,Name the blind sculptress in love with the Fantastic Four 's Thing .,HUM
2870,"What was archy , and mehitabel ?",DESC
2871,What is the best hospital for orthopedics in the country ?,LOC
2872,What does the name `` Sabrina '' mean ?,DESC
2873,Where do I find information for foreclosure properties on the Internet ?,LOC
2874,"In Sinclair Lewis ' `` Main Street , '' what was the name of the typical American town ?",LOC
2875,What do you say to a friend who ignores you for other friends ?,DESC
2876,When was Nostradamus born ?,NUM
2877,What is a horologist ?,DESC
2878,What was the nickname of German flying ace Manfred von Richthofen ?,HUM
2879,What is an arab strap ?,DESC
2880,What is the difference between a bottle and a jar ?,DESC
2881,Who was the first governor of West Virginia ?,HUM
2882,Who did Doris Day mean when she said,HUM
2883,When was the San Francisco fire ?,NUM
2884,What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?,ENTY
2885,What are the shortest and the longest songs ever produced ?,ENTY
2886,Who was the first person inducted into the U.S. Swimming Hall of Fame ?,HUM
2887,What revelation did Alexander Butterfield make to the Senate Watergate committee ?,DESC
2888,Why are eggs supposed to be stored small end down ?,DESC
2889,What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?,DESC
2890,What is titanium ?,DESC
2891,What is Mississippi 's state animal ?,ENTY
2892,What California desert is dubbed High Desert ?,LOC
2893,How is thalassemia defined ?,DESC
2894,"What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?",ENTY
2895,Where did the marriage ceremony come from ?,DESC
2896,Where does the song Anything Goes take place ?,LOC
2897,What web sites are linked to the Report on Genesis Eldercare ?,LOC
2898,What does Inuit and Eskimo mean ?,DESC
2899,What historical event happened in Dogtown in 1899 ?,ENTY
2900,What is a movie that Kevin Costner made about Sioux Indians ?,ENTY
2901,Where is the Statistical Abstract of the United States online ?,LOC
2902,How does color affect a person psychologically ?,DESC
2903,Where can I find examples of legal cases about the Individuals with Disabilities Education Act ?,LOC
2904,What country was Brian Boru an 11th-century king of ?,LOC
2905,What is the fear of the computer called ?,ENTY
2906,What is the size of the student body at the University of Massachusetts in Amherst ?,NUM
2907,When did Theo Rousseau paint the `` Forest of Fontaine '' ?,NUM
2908,What Tokyo street glitters with famed department stores and nightclubs ?,LOC
2909,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,ENTY
2910,What 's the symbol for the zodiacal sign Gemini ?,ENTY
2911,How much did Mercury spend on advertising in 1993 ?,NUM
2912,What did Esquire name Ash Hole of the Year for 1980 ?,ENTY
2913,"What basketball player is credited with 23 , 924 rebounds ?",HUM
2914,Who was Maria Theresa ?,HUM
2915,What sport was the first televised in the U.S. ?,ENTY
2916,Who wrote `` The Scarlet Letter '' ?,HUM
2917,What is the largest city in the world ?,LOC
2918,Where did Dylan Thomas die ?,LOC
2919,Who built the first pyramid ?,HUM
2920,What city was President William McKinley shot in ?,LOC
2921,What 1956 Grace Metalious novel was on the best-seller list for two years ?,ENTY
2922,What are the languages spoken by the natives in Afghanistan ?,ENTY
2923,What does the name Calder mean ?,DESC
2924,How do clouds form ?,DESC
2925,What does the word `` opera '' mean ?,DESC
2926,How can I find a phone number of someone if I only know their email address ?,DESC
2927,What city is . KDGE Radio located in ?,LOC
2928,What African country was founded by freed American slaves in 1847 ?,LOC
2929,What auto race was Wilbur Reed the first to win three times ?,ENTY
2930,Name a movie about the Sioux Indians starring Kevin Costner .,ENTY
2931,What is a fear of fur ?,ENTY
2932,What 's a water funnel ?,DESC
2933,What body of water does the Yukon River empty into ?,LOC
2934,"What is it that walks on four legs , then on two legs , then on three ?",ENTY
2935,What food of the three bears did Goldilocks eat ?,ENTY
2936,What was paper made of in the late 16th century ?,ENTY
2937,What two countries contain Sierra Nevada mountains ?,LOC
2938,When was the slinky invented ?,NUM
2939,What is measured in curies ?,DESC
2940,"What is the all-time stock high of Apple Computer , and where can I find this information ?",NUM
2941,What Cruise Line does Kathie Lee Gifford advertise for ?,HUM
2942,How can you contact play producers and promoters on-line ?,DESC
2943,What U.S. state 's biggest lake is Lake Sam Rayburn ?,LOC
2944,Name the Ranger who was always after Yogi Bear .,HUM
2945,What does IQ stand for ?,ABBR
2946,What was the name of the U.S. Navy gunboat in the film The Sand Pebbles ?,ENTY
2947,How do you do a bibliography page ?,DESC
2948,What is gymnophobia ?,DESC
2949,Who reports the weather on the `` Good Morning America '' television show ?,HUM
2950,What is `` Nine Inch Nails '' ?,DESC
2951,How many people did Randy Craft murder ?,NUM
2952,"What river flows through Vienna , Budapest and Belgrade ?",LOC
2953,How much did the minimum wage amount to in 1991 ?,NUM
2954,How many villi are found in the small intestine ?,NUM
2955,Why are ice cream sundaes called sundaes ?,DESC
2956,Where on the Internet can I get chemicals importers ?,LOC
2957,How many people are there in the world ?,NUM
2958,What currency is used in Australia ?,ENTY
2959,In what year did Thatcher become prime minister ?,NUM
2960,Who was the second person ever to wear Iron Man 's armor ?,HUM
2961,What does a nihilist believe in ?,DESC
2962,Where do hyenas live ?,LOC
2963,What day of the week sees the most fatal car accidents ?,NUM
2964,"In Hemingway 's `` Old Man and the Sea , '' what kind of fish does the old man catch ?",ENTY
2965,What is the airport code for Los Angeles International ?,NUM
2966,What TV family sometimes buys eclairs from Nelson 's Bakery ?,HUM
2967,What did Englishman John Hawkins begin selling to New World colonists in 1562 ?,ENTY
2968,"What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7 , 1989 ?",ENTY
2969,Where did Dikembe Mutombo go to college ?,LOC
2970,"Who was the first elected mayor of Washington , D.C. ?",HUM
2971,When did Fraze get his first patent for the pull-tab can ?,NUM
2972,What is a disaccharide ?,DESC
2973,When did communist control end in Hungary ?,NUM
2974,What is a leaky heart valve ?,DESC
2975,Who did Sonny Liston succeed as world heavyweight boxing champion ?,HUM
2976,What film was based on the play Everybody Comes to Rick 's ?,ENTY
2977,What language is mostly spoken in Brazil ?,ENTY
2978,How many tenths of the Earth 's surface lie under water ?,NUM
2979,What is Megan 's law ?,DESC
2980,What was the first ready-to-eat breakfast cereal ?,ENTY
2981,What does ribavirin consist of ?,ENTY
2982,How many inches apart are adjacent pins in tenpin bowling ?,NUM
2983,What is the chemical formula for napalm ?,ENTY
2984,What product did William Horlick discover and produce ?,ENTY
2985,What are Bellworts ?,DESC
2986,What is a fear of water ?,ENTY
2987,What does `` Philebus-like '' mean ?,DESC
2988,How much folic acid should an expectant mother get daily ?,NUM
2989,What is the name of the game that Garry Kasparov plays ?,ENTY
2990,What is the origin of infinity ?,DESC
2991,Define Sinn Fein .,DESC
2992,What book is the follow-up to Future Shock ?,ENTY
2993,What is the history of yo-yos ?,DESC
2994,What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?,ENTY
2995,What buxom blonde appeared on the cover of more than 5 magazines ?,HUM
2996,What was the Chivington Massacre ?,DESC
2997,Who invented `` The Muppets '' ?,HUM
2998,Why were the American soldiers in WWI called `` Doughboys '',DESC
2999,What is the definition of the term `` weapons system '' ?,DESC
3000,How do you pronounce `` Tzimisce '' ?,DESC
3001,What does BTU mean ?,ABBR
3002,How do I write to my Congressman ?,DESC
3003,"What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?",ENTY
3004,What is a `` False Moon '' ?,DESC
3005,Where is the group M People from ?,LOC
3006,What are equity securities ?,DESC
3007,What costume designer decided that Michael Jackson should only wear one glove ?,HUM
3008,How tall is the replica of the Matterhorn at Disneyland ?,NUM
3009,What President was assassinated by Charles J. Guiteau ?,HUM
3010,"What do the number 1 , 2 , and 4 mean on Dr. Pepper bottles ?",DESC
3011,What are the Nordic nations ?,LOC
3012,What attorneys work for The Center for the Defense of Free Enterprise ?,HUM
3013,What year was the first automobile manufactured ?,NUM
3014,"To get the most caffeine , what soda should I drink ?",ENTY
3015,What does the word affiant mean ?,DESC
3016,How can I call a friend in another country when I do not know the telephone number ?,DESC
3017,What is a hyperlink ?,DESC
3018,Who was Tiny Tim 's father ?,HUM
3019,Why did several San Diego schools stop serving apples to students ?,DESC
3020,What is Beethoven 's 9th symphony called ?,ENTY
3021,How many films are made by the major studios in a year ?,NUM
3022,What did Martin Luther post on the church door at Wittenberg ?,ENTY
3023,Who are the top ten richest people in the world ?,HUM
3024,How tall is the giraffe ?,NUM
3025,How far out is the universe ?,NUM
3026,How many emperors were there in the Roman Empire ?,NUM
3027,What is the origin of the expression `` four-letter word '' ?,DESC
3028,What geological time do we live in ?,NUM
3029,What is the virus HIV ?,DESC
3030,What island is home to statues called Mauis ?,LOC
3031,How can you be happy ?,DESC
3032,What wheel did Blaise Pascal invent in a search for perpetual motion ?,ENTY
3033,"What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960's ?",HUM
3034,Why do people shake hands to show friendliness ?,DESC
3035,What toy can you make sleep ?,ENTY
3036,What is a fear of being dirty ?,ENTY
3037,What U.S. vice-president said,HUM
3038,When was cigarette advertising banned on television and radio ?,NUM
3039,Which Ventura County police department seized the largest cocaine shipment in it 's history ?,HUM
3040,What is a First World country ?,DESC
3041,Why are so many umbrellas black ?,DESC
3042,"What are the words to the cd Eminem 's , or slim shady , `` My Name Is '' ?",DESC
3043,What caused the Lynmouth floods ?,DESC
3044,How many zip codes are there in the U.S. ?,NUM
3045,How do you make the color purple ?,DESC
3046,How is a hydrogen bomb different from a nuclear bomb ?,DESC
3047,What is the longest-running television series ?,ENTY
3048,What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?,ENTY
3049,What number of American soldiers remain unaccounted from the Vietnam war ?,NUM
3050,What is the Islamic equivalent of the Red Cross ?,ENTY
3051,What does LOL mean ?,ABBR
3052,Why can 't women serve in the Navy on board submarines ?,DESC
3053,Why did the chicken cross the road ?,DESC
3054,What colors make up a rainbow ?,ENTY
3055,"How long is the world 's largest ship , in meters ?",NUM
3056,How many `` No '' answers was the What 's My Line ? panel allowed ?,NUM
3057,How many calories are there in soy sauce ?,NUM
3058,What was the reason for the partition of the Anglican and Vatican churches ?,DESC
3059,"What is the real name of the singer , Madonna ?",HUM
3060,What Jules Verne novel features scientists held captive in the submarine Nautilus ?,ENTY
3061,"Who portrayed Fatman in the television show , `` Jake and the Fatman '' ?",HUM
3062,What were first used by John L. Sullivan and James J. Corbett in 1892 ?,ENTY
3063,What country 's royal house is Bourbon-Parma ?,LOC
3064,What does `` E Pluribus Unum '' on the penny mean ?,DESC
3065,What four tastes can a human distinguish ?,ENTY
3066,What is SAP ?,ABBR
3067,What are three ways in which wind is created on the earth ?,ENTY
3068,What did the Seven Dwarfs do for a living ?,HUM
3069,What is an ecological niche ?,DESC
3070,What is the highest Roman numeral ?,DESC
3071,What is a fear of stings ?,ENTY
3072,What is the origin of gametophytic tissue ?,DESC
3073,What Green Bay Packers coach philosophized,HUM
3074,What political party is Sinn Fein a part of ?,HUM
3075,What is the difference between Neoclassical art and Romanticism art ?,DESC
3076,What TV show did John Sebastian sing the theme for ?,ENTY
3077,What does Final Four refer to in the sports world ?,ENTY
3078,Where 's the GUM department store ?,LOC
3079,When was the Congress of Vienna ?,NUM
3080,What makes thunder ?,DESC
3081,What country other than Germany invaded Poland in September 1939 ?,LOC
3082,"What day is August 13 , 1971 ?",NUM
3083,What are the statistics for drunken drivers in Maryland ?,NUM
3084,Who is Zebulon Pike ?,HUM
3085,How many cities are there in Utah ?,NUM
3086,What Mormon leader was said to have had 27 wives ?,HUM
3087,What is the student population at the University of Massachusetts in Amherst ?,NUM
3088,How do telephones work ?,DESC
3089,What facial feature did Walt Disney sport that none of Disney 's employees is allowed to ?,DESC
3090,What are the alveoli ?,DESC
3091,Who was Bonnie Blue Butler 's father ?,HUM
3092,What were Babe Ruth 's Christian names ?,HUM
3093,Why do the chickenpoxs last so long ?,DESC
3094,Who founded the Unification Church ?,HUM
3095,Who wrote The Collector ?,HUM
3096,What is the most common cancer ?,ENTY
3097,What sport can a free-legged pacer compete in ?,ENTY
3098,What are the biggest Indian airports ?,LOC
3099,What are some good fractal web sites ?,LOC
3100,What did Shostakovich write for Rostropovich ?,ENTY
3101,How do you send a movie transcript to Hollywood so that it can be produced into a film ?,DESC
3102,Who made the first airplane that could fly ?,HUM
3103,What is the population of Japan ?,NUM
3104,What is the design of the ship Titanic ?,DESC
3105,What is Britain 's possession on the Chinese mainland ?,LOC
3106,What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?,ENTY
3107,"Which hair care product told us `` hate that gray , wash it away '' ?",ENTY
3108,What is Alice Cooper 's real name ?,HUM
3109,How many islands does Fiji have ?,NUM
3110,What are the three most populated countries in the world ?,LOC
3111,Shea and Gould closed their Los Angeles office for what reason ?,DESC
3112,Where is the Loop ?,LOC
3113,What is dew point ?,DESC
3114,What are a baseball team 's firemen ?,DESC
3115,What is the name of the kids ' show from Canadian Public TV with the singing pineapple ?,ENTY
3116,What were popular songs and types of songs in the 1920s ?,ENTY
3117,What is the meaning of `` subaru ? '',DESC
3118,How far is Yaroslavl from Moscow ?,NUM
3119,What is the English translation for the word `` caliente '' ?,ENTY
3120,What percentage of the body is muscle ?,NUM
3121,What sport do you shag flies in ?,ENTY
3122,Who is the Antichrist ?,HUM
3123,What color is Mr. Spock 's blood ?,ENTY
3124,What U.S. state records the least rainfall ?,LOC
3125,On what day were John F and Jackie Kennedy married ?,NUM
3126,What university football team did O.J. Simpson take to the Rose Bowl ?,HUM
3127,Where is Procter & Gamble based in the U.S. ?,LOC
3128,What is infomatics ?,DESC
3129,"What President served for five years , six months and 2 days ?",HUM
3130,What ship did Lloyd M. Bucher command ?,ENTY
3131,At what age did Rossini stop writing opera ?,NUM
3132,Who sought to create The Great Society ?,HUM
3133,What is God ?,DESC
3134,What U.S. state does the Continental Divide leave to enter Canada ?,LOC
3135,What country imposed the Berlin Blockade in 1948 ?,LOC
3136,What can one see in Reims ?,ENTY
3137,Which two states enclose Chesapeake Bay ?,LOC
3138,What organization has a Security Council ?,HUM
3139,Who is considered The First Lady of the American Stage ?,HUM
3140,What was the name of Captain Bligh 's ship ?,ENTY
3141,What constellation is known as The Water Bearer ?,LOC
3142,How do I find info about rice importers in the world ?,DESC
3143,What country is famous for Persian rugs ?,LOC
3144,What does it mean `` Rupee Depreciates '' ?,DESC
3145,What is the West Virginia state animal ?,ENTY
3146,Who killed Kurt Cobain ?,HUM
3147,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,ENTY
3148,What is the price for AAA 's liability auto insurance ?,NUM
3149,"Where can I find up-to-date coastal ocean surface temperature information , preferably along North America and the Caribbean ?",LOC
3150,How is the election of a new Pope announced to the world ?,DESC
3151,What is the frequency of VHF ?,NUM
3152,"Who created the comic strip , `` Garfield '' ?",HUM
3153,What was the death toll at the eruption of Mount Pinatubo ?,NUM
3154,Which city in Canada is the least-populated ?,LOC
3155,"In Waugh 's `` A Handful of Dust , '' what does the mad old man force the hero to do every afternoon ?",DESC
3156,What former African leader held his country 's boxing title for nine years ?,HUM
3157,What was Darth Vader 's son named ?,HUM
3158,What is a common anti-AIDS drug ?,ENTY
3159,What video format was an alternative to VHS ?,ENTY
3160,What is the largest shopping mall in the world ?,LOC
3161,Which is the only Dick Tracy villain to appear three times ?,HUM
3162,What is thalassemia ?,DESC
3163,What was Connecticut 's first constitution called ?,ENTY
3164,How much do tuberculosis combatting drugs cost ?,NUM
3165,What city was Bobby Kennedy assassinated in ?,LOC
3166,Names of books by James A. Michener set in the following locations ?,ENTY
3167,What is a fear of home surroundings ?,ENTY
3168,Which is a real berry,ENTY
3169,What are you hearing when you put a seashell to your ear ?,DESC
3170,How long was the longest sneezing attack ?,NUM
3171,What is the chemical reactivity of helium ?,NUM
3172,What two European countries entered the War of American Independence against the British ?,LOC
3173,Who fired Maria Ybarra from her position in San Diego council ?,HUM
3174,What tragedy befell the city of Dogtown in 1899 ?,ENTY
3175,Who earns their money the hard way ?,HUM
3176,What is Rona Barrett 's married name ?,HUM
3177,Who invented the Moog Synthesizer ?,HUM
3178,What tools do you use to crewel ?,ENTY
3179,What is the medical condition of hypertension ?,DESC
3180,How much can a person be fined for having a dog on a beach ?,NUM
3181,What is a fear of parasites ?,ENTY
3182,What hockey player did Ronald Reagan joke he would swap Texas for ?,HUM
3183,What did the Congress of Vienna establish ?,ENTY
3184,Who was Jinnah ?,HUM
3185,What is the abbreviation of the National Bureau of Investigation ?,ABBR
3186,How many bottles of wine were prisoners in the Bastille allowed per day ?,NUM
3187,What phenomenon would you expect to read about in the monthly publication The Bigfoot News ?,ENTY
3188,Name the two youngsters saved by the animated Moby Dick .,HUM
3189,What is the origin of the name Katie ?,DESC
3190,Which city in China has the largest number of foreign financial companies ?,LOC
3191,What is the definition of hazmat ?,DESC
3192,What river flows past the Temple of Karnak ?,LOC
3193,What organization 's offices were broken into at Watergate in 1972 ?,HUM
3194,What desert has been called The Garden of Allah ?,LOC
3195,Why is the grass green ?,DESC
3196,What is a fear of passing high objects ?,ENTY
3197,What is Columbia Tristar 's phone number ?,NUM
3198,Which of the following people is not associated with Andy Warhol ?,HUM
3199,Where can I find a large list of 5 to 6 letter words ?,LOC
3200,What Peter Blatty novel recounts the horrors of Regan MacNeil 's possession by the devil ?,ENTY
3201,How much of the silver production is manufactured by independent silversmiths ?,NUM
3202,Who accompanied Space Ghost on his missions ?,HUM
3203,"In order from the top , the four stripes on a can of Pepsi are what colors ?",ENTY
3204,What is the difference between the anus and the rectum ?,DESC
3205,What was the name of the orca that died of a fungal infection ?,ENTY
3206,When did Princess Diana and Prince Charles get married ?,NUM
3207,"In the Miller Lite TV commercial , who is the creature ?",ENTY
3208,How did Socrates die ?,DESC
3209,What country is the biggest producer of tungsten ?,LOC
3210,"Why do USA fax machines not work in UK , NNP ?",DESC
3211,What is DSL ?,ABBR
3212,What color beans did the ancient Romans refuse to eat ?,ENTY
3213,What country has the best defensive position in the board game Diplomacy ?,LOC
3214,What is the fare cost for the round trip between New York and London on Concorde ?,NUM
3215,What is the largest snake in the world ?,ENTY
3216,Who was the inventor of silly putty ?,HUM
3217,Who is the youngest of the Beatles ?,HUM
3218,What is the present Pope named ?,HUM
3219,"What camera company said , `` If you haven 't got the time , we 've got the camera ? ''",HUM
3220,What are the Poconos ?,DESC
3221,What Stephen Sondheim ballad ends,ENTY
3222,Tell me what city the Kentucky Horse Park is near ?,LOC
3223,What are John C. Calhoun and Henry Clay known as ?,ENTY
3224,What makes popcorn pop ?,DESC
3225,What is the name of the Jewish alphabet ?,ENTY
3226,"What Michelangelo sculpture is in Saint Peter 's Cathedral , Basilica , ?",ENTY
3227,What attorney-general ordered the closing of Alcatraz ?,HUM
3228,What is the average date when most malls begin putting up Christmas holiday decorations ?,NUM
3229,What is the nature of learning ?,DESC
3230,Where was Lincoln assassinated ?,LOC
3231,How many lawyers are there in the state of New Jersey ?,NUM
3232,Who played Maria in the film West Side Story ?,HUM
3233,"What product is for kids , and not for silly rabbits ?",ENTY
3234,What French seaport claims to be The Home of Wines ?,LOC
3235,For what disease is the drug Sinemet used as a treatment ?,ENTY
3236,What is the `` Global Economy '' ?,DESC
3237,How many times can a nickel-cadmium rechargeable battery be recharged ?,NUM
3238,What is mandibulofacial dysostosis ?,DESC
3239,How many calories are in a tomato ?,NUM
3240,Who did Bobby Fischer beat to win the world chess championship ?,HUM
3241,What city contains the district of Hell 's Kitchen ?,LOC
3242,What kind of meat is Fray Bentos synonymous with ?,ENTY
3243,What does the word terrorism mean ?,DESC
